"site_id","datetime","depth_m","variable","observation"
"bvre",2020-07-01,8,"Temp_C_mean",13.5260086805556
"bvre",2020-07-01,9,"Temp_C_mean",12.4430527777778
"bvre",2020-07-01,10,"Temp_C_mean",11.3904670833333
"bvre",2020-07-01,11,"Temp_C_mean",NA
"bvre",2020-07-01,12,"Temp_C_mean",NA
"bvre",2020-07-01,13,"Temp_C_mean",NA
"bvre",2020-07-01,6,"DO_mgL_mean",6.54191920138889
"bvre",2020-07-01,13,"DO_mgL_mean",0
"bvre",2020-07-01,1.5,"DO_mgL_mean",10.8369444444444
"bvre",2020-07-01,1.5,"Chla_ugL_mean",5.44444444444444
"bvre",2020-07-01,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-01,1.5,"fDOM_QSU_mean",14.0671527777778
"bvre",2020-07-02,1,"Temp_C_mean",26.1017263636364
"bvre",2020-07-02,2,"Temp_C_mean",26.9744655072464
"bvre",2020-07-02,3,"Temp_C_mean",26.0396910869565
"bvre",2020-07-02,4,"Temp_C_mean",22.7948661594203
"bvre",2020-07-02,5,"Temp_C_mean",19.4260225362319
"bvre",2020-07-02,6,"Temp_C_mean",17.0584894927536
"bvre",2020-07-02,7,"Temp_C_mean",14.9210388405797
"bvre",2020-07-02,8,"Temp_C_mean",13.5605205072464
"bvre",2020-07-02,9,"Temp_C_mean",12.4759424637681
"bvre",2020-07-02,10,"Temp_C_mean",11.3780576811594
"bvre",2020-07-02,11,"Temp_C_mean",NA
"bvre",2020-07-02,12,"Temp_C_mean",NA
"bvre",2020-07-02,13,"Temp_C_mean",NA
"bvre",2020-07-02,6,"DO_mgL_mean",6.67760824806202
"bvre",2020-07-02,13,"DO_mgL_mean",0
"bvre",2020-07-02,1.5,"DO_mgL_mean",10.8217829457364
"bvre",2020-07-02,1.5,"Chla_ugL_mean",5.60957142857143
"bvre",2020-07-02,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-02,1.5,"fDOM_QSU_mean",14.1043571428571
"bvre",2020-07-03,1,"Temp_C_mean",NA
"bvre",2020-07-03,2,"Temp_C_mean",27.9510596527778
"bvre",2020-07-03,3,"Temp_C_mean",26.5268452777778
"bvre",2020-07-03,4,"Temp_C_mean",23.10827
"bvre",2020-07-03,5,"Temp_C_mean",19.6540654861111
"bvre",2020-07-03,6,"Temp_C_mean",17.1793344444444
"bvre",2020-07-03,7,"Temp_C_mean",15.0095997916667
"bvre",2020-07-03,8,"Temp_C_mean",13.5467367361111
"bvre",2020-07-03,9,"Temp_C_mean",12.4206297222222
"bvre",2020-07-03,10,"Temp_C_mean",11.3990968055556
"bvre",2020-07-03,11,"Temp_C_mean",NA
"bvre",2020-07-03,12,"Temp_C_mean",NA
"bvre",2020-07-03,13,"Temp_C_mean",NA
